CIK #,company_name,form_type,date_filed,manager_ownership_data_as_of,prospectus_url,year_filed,fund_name,manager,$ownership
1043434,"BLACKROCK GLOBAL GROWTH FUND, INC.",485BPOS,2006-12-21 00:00:00,2006-08-31,https://www.sec.gov/Archives/edgar/data/1043434/0000891092-06-003876.txt,2006,"BLACKROCK GLOBAL GROWTH FUND, INC.",Thomas E. Burke,"$100,001 - $500,000"
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES C PORTFOLIO,Matthew Marra,None
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES C PORTFOLIO,Scott Amero,None
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES I PORTFOLIO,Scott Amero,None
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES I PORTFOLIO,Todd Kopstein,None
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES M PORTFOLIO,Andrew J. Phillips,None
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES M PORTFOLIO,Eric Pellicciaro,None
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES P PORTFOLIO,Andrew Gordon,None
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES P PORTFOLIO,Jeff Gary,None
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES S PORTFOLIO,Scott Amero,None
1221845,BLACKROCK BOND ALLOCATION TARGET SHARES,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/1221845/0001193125-06-014159.txt,2006,BATS: SERIES S PORTFOLIO,Todd Kopstein,None
765199,BLACKROCK CALIFORNIA MUNICIPAL SERIES TRUST,485BPOS,2006-12-22 00:00:00,2006-08-31,https://www.sec.gov/Archives/edgar/data/765199/0001193125-06-258790.txt,2006,BLACKROCK CALIFORNIA INSURED MUNICIPAL BOND FUND,"Theodore R. Jaeckel, Jr.",None
765199,BLACKROCK CALIFORNIA MUNICIPAL SERIES TRUST,485BPOS,2006-12-22 00:00:00,2006-08-31,https://www.sec.gov/Archives/edgar/data/765199/0001193125-06-258790.txt,2006,BLACKROCK CALIFORNIA INSURED MUNICIPAL BOND FUND,Walter O Connor,None
844779,BLACKROCK FUNDS,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/844779/0001193125-06-014257.txt,2006,AURORA,"Wayne J. Archambo, CFA",None
844779,BLACKROCK FUNDS,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/844779/0001193125-06-014257.txt,2006,MID-CAP VALUE EQUITY,"Anthony F. Forcione, CFA","$100,101-$500,000"
844779,BLACKROCK FUNDS,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/844779/0001193125-06-014257.txt,2006,MID-CAP VALUE EQUITY,"Wayne J. Archambo, CFA",None
844779,BLACKROCK FUNDS,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/844779/0001193125-06-014257.txt,2006,SMALL CAP VALUE EQUITY,"Wayne J. Archambo, CFA","$100,001-$500,000"
844779,BLACKROCK FUNDS,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/844779/0001193125-06-014257.txt,2006,CORE EQUITY,"David Byrket, CFA",None
844779,BLACKROCK FUNDS,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/844779/0001193125-06-014257.txt,2006,CORE EQUITY,"Fred Herrmann, CFA",None
844779,BLACKROCK FUNDS,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/844779/0001193125-06-014257.txt,2006,BLACKROCK STRATEGIC PORTFOLIO I,Andrew Gordon,None
844779,BLACKROCK FUNDS,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/844779/0001193125-06-014257.txt,2006,BLACKROCK STRATEGIC PORTFOLIO I,Keith Anderson,None
844779,BLACKROCK FUNDS,485BPOS,2006-01-27 00:00:00,2005-09-30,https://www.sec.gov/Archives/edgar/data/844779/0001193125-06-014257.txt,2006,BLACKROCK STRATEGIC PORTFOLIO I,Scott Thiel,None
