fund_name
INVESTMENT TRUST
U.S. OPPORTUNITIES
ENHANCED INCOME
GOVERNMENT INCOME
INTERMEDIATE BOND
INTERNATIONAL BOND
LOW DURATION
MANAGED INCOME
TOTAL RETURN
Total Return V.I.
International V.I.
Basic Value V.I.
High Yield V.I.
MARKETS FUND
INTERNATIONAL FUND
GLOBAL EMERGING
SHORT-TERM FUND
NATIONAL FUND
HIGH YIELD FUND
BLACKROCK
MARKETS
U.S IMPACT
ENERGY & RESOURCES
THE
VALUE FUND
CORE FUND
U.S. OPPORTUNITIES
GROWTH FUND
CORE PLUS FUND
BOND PORTFOLIO
ASSET ALLOCATION
INSURED FUND
FUND
SMALL CAP
INDEX
EXCHANGE PORTFOLIO
LONG DURATION
TOTAL RETURN
INVESTMENT TRUST
Exchange
