fund_name,tickers,prospectus_tickers
20/80 FUND,"[('BACPX', 'BlackRock 20/80 Target Allocation Fund'),('BKCPX', 'BlackRock 20/80 Target Allocation Fund')]",[]
2010,[],[]
2015,[],[]
2015 FUND,[],[]
2020,"[('BAPCX', 'BlackRock LifePath ® Smart Beta 2020 Fund')]",[]
2020 FUND,"[('BAPCX', 'BlackRock LifePath ® Smart Beta 2020 Fund')]",[]
2025,"[('BAPDX', 'BlackRock LifePath Smart Beta 2025 Fund')]",[]
2025 FUND,"[('BAPDX', 'BlackRock LifePath Smart Beta 2025 Fund')]",[]
2030,"[('BAPEX', 'BlackRock LifePath Smart Beta 2030 Fund')]",[]
2030 FUND,"[('BAPEX', 'BlackRock LifePath Smart Beta 2030 Fund')]",[]
2035,"[('BAPGX', 'BlackRock LifePath Smart Beta 2035 Fund')]",[]
2035 FUND,"[('BAPGX', 'BlackRock LifePath Smart Beta 2035 Fund')]",[]
2040,"[('BAPHX', 'BlackRock LifePath Smart Beta 2040 Fund')]",[]
2040 FUND,"[('BAPHX', 'BlackRock LifePath Smart Beta 2040 Fund')]",[]
2045,"[('BAPJX', 'BlackRock LifePath Smart Beta 2045 Fund')]",[]
2045 FUND,"[('BAPJX', 'BlackRock LifePath Smart Beta 2045 Fund')]",[]
2050,"[('BAPKX', 'BlackRock LifePath Smart Beta 2050 Fund')]",[]
2050 FUND,"[('BAPKX', 'BlackRock LifePath Smart Beta 2050 Fund')]",[]
2055 FUND,"[('BAPLX', 'BlackRock LifePath Smart Beta 2055 Fund')]",[]
2060 FUND,"[('BAPAX', 'BlackRock LifePath Smart Beta 2060 Fund'),('BIEGX', 'BlackRock LifePath Smart Beta 2060 Fund'),('BAPRX', 'BlackRock LifePath Smart Beta 2060 Fund'),('BKJKX', 'BlackRock LifePath Smart Beta 2060 Fund')]",[]
40/60 FUND,"[('BAMPX', 'BlackRock 40/60 Target Allocation Fund'),('BKMPX', 'BlackRock 40/60 Target Allocation Fund')]",[]
"50,001 -",[],[]
60/40 FUND,"[('BAGPX', 'BlackRock 60/40 Target Allocation Fund'),('BKGPX', 'BlackRock 60/40 Target Allocation Fund')]",[]
80/20 FUND,"[('BAAPX', 'BlackRock 80/20 Target Allocation Fund'),('BKAPX', 'BlackRock 80/20 Target Allocation Fund')]",[]
ACWI EX-US INDEX FUND,"[('BDOAX', 'BlackRock ACWI ex-US Index Fund'),('BDOIX', 'BlackRock ACWI ex-US Index Fund'),('BDOKX', 'BlackRock ACWI ex-US Index Fund')]",[]
ADVANTAGE ESG EMERGING MARKETS EQUITY,[],"[('BLSAX', 'BlackRock Advantage Emerging Markets Fund', 83), ('BLSCX', 'BlackRock Advantage Emerging Markets Fund', 83), ('BLSIX', 'BlackRock Advantage Emerging Markets Fund', 83), ('BLSKX', 'BlackRock Advantage Emerging Markets Fund', 83), ('BR', 'BlackRock Advantage Emerging Markets Fund', 83)]"
ADVANTAGE ESG INTERNATIONAL EQUITY,[],"[('BROAX', 'BlackRock Advantage International Fund', 81), ('BROCX', 'BlackRock Advantage International Fund', 81), ('BROIX', 'BlackRock Advantage International Fund', 81), ('BGORX', 'BlackRock Advantage International Fund', 81), ('BROKX', 'BlackRock Advantage International Fund', 81)]"
ADVANTAGE LARGE CAP CORE PORTFOLIO,[],[]
ADVANTAGE SMALL CAP GROWTH,"[('CSGEX', 'BlackRock Advantage Small Cap Growth Fund'),('BMGBX', 'BlackRock Advantage Small Cap Growth Fund')]","[('BDSAX', 'BlackRock Advantage Small Cap Core Fund', 84), ('BDSCX', 'BlackRock Advantage Small Cap Core Fund', 84), ('BDSIX', 'BlackRock Advantage Small Cap Core Fund', 84), ('BDSKX', 'BlackRock Advantage Small Cap Core Fund', 84), ('CSGBX', 'BlackRock Small Cap Growth Equity Portfolio', 76), ('CGICX', 'BlackRock Small Cap Growth Equity Portfolio', 76), ('PSGIX', 'BlackRock Small Cap Growth Equity Portfolio', 76), ('PCGEX', 'BlackRock Small Cap Growth Equity Portfolio', 76), ('SCGAX', 'BlackRock Small/Mid-Cap Growth Portfolio', 76)]"
AGGRESSIVE GROWTH PREPARED PORTFOLIO,"[('BCAPX', 'BlackRock Aggressive Growth Prepared Portfolio'),('BIAPX', 'BlackRock Aggressive Growth Prepared Portfolio'),('BRAPX', 'BlackRock Aggressive Growth Prepared Portfolio')]","[('BCGPX', 'BlackRock Growth Prepared Portfolio', 83), ('BIGPX', 'BlackRock Growth Prepared Portfolio', 83), ('BRGPX', 'BlackRock Growth Prepared Portfolio', 83)]"
ALL-CAP ENERGY & RESOURCES,"[('BACBX', 'BlackRock All-Cap Energy & Resources Portfolio')]","[('SSGRX', 'BlackRock Energy & Resources Portfolio', 80), ('SSGPX', 'BlackRock Energy & Resources Portfolio', 80), ('SSGDX', 'BlackRock Energy & Resources Portfolio', 80), ('SGLSX', 'BlackRock Energy & Resources Portfolio', 80)]"
ALL-CAP GLOBAL RESOURCES,[],"[('BACBX', 'BlackRock All-Cap Energy & Resources Portfolio', 83)]"
ALL-CAP GLOBAL RESOURCES PORTFOLIO,[],"[('BACBX', 'BlackRock All-Cap Energy & Resources Portfolio', 89), ('SSGRX', 'BlackRock Energy & Resources Portfolio', 72), ('SSGPX', 'BlackRock Energy & Resources Portfolio', 72), ('SSGDX', 'BlackRock Energy & Resources Portfolio', 72), ('SGLSX', 'BlackRock Energy & Resources Portfolio', 72)]"
ALLOCATION PORTFOLIO,"[('PCBAX', 'BlackRock Asset Allocation Portfolio'),('CBIBX', 'BlackRock Asset Allocation Portfolio'),('BRBCX', 'BlackRock Asset Allocation Portfolio'),('PBAIX', 'BlackRock Asset Allocation Portfolio'),('PCBSX', 'BlackRock Asset Allocation Portfolio')]",[]
AMENTAL GROWTH V.I. FUND,[],[]
AMT-FREE MUNICIPAL BOND,"[('CCAX', 'BlackRock AMT-Free Municipal Bond Portfolio'),('CCTAX', 'AMT-Free Municipal Bond Portfolio'),('CMITX', 'AMT-Free Municipal Bond Portfolio'),('BRTIX', 'AMT-Free Municipal Bond Portfolio')]","[('CCOHX', 'BlackRock Ohio Municipal Bond Portfolio', 76), ('BKICX', 'BlackRock Kentucky Municipal Bond Portfolio', 76), ('BKIAX', 'BlackRock Kentucky Municipal Bond Portfolio', 76), ('BDIAX', 'BlackRock Delaware Municipal Bond Portfolio', 76), ('CCOAX', 'BlackRock Ohio Municipal Bond Portfolio', 76), ('COHSX', 'BlackRock Ohio Municipal Bond Portfolio', 76), ('BKISX', 'BlackRock Kentucky Municipal Bond Portfolio', 76), ('BDISX', 'BlackRock Delaware Municipal Bond Portfolio', 76)],[]"
ASSET ALLOCATION,[],[]
ASSET ALLOCATION PORTFOLIO,"[('PCBAX', 'BlackRock Asset Allocation Portfolio'),('CBIBX', 'BlackRock Asset Allocation Portfolio'),('BRBCX', 'BlackRock Asset Allocation Portfolio'),('PBAIX', 'BlackRock Asset Allocation Portfolio'),('PCBSX', 'BlackRock Asset Allocation Portfolio')]",[]
AURORA,"[('SSRAX', 'BlackRock Aurora Portfolio')]",[]
AURORA PORTFOLIO,"[('SSRAX', 'BlackRock Aurora Portfolio')]","[('SHSAX', 'BlackRock Health Sciences Opportunities Portfolio', 72), ('SHSCX', 'BlackRock Health Sciences Opportunities Portfolio', 72), ('SHSSX', 'BlackRock Health Sciences Opportunities Portfolio', 72), ('BHSRX', 'BlackRock Health Sciences Opportunities Portfolio', 72), ('SHISX', 'BlackRock Health Sciences Opportunities Portfolio', 72), ('SHSKX', 'BlackRock Health Sciences Opportunities Portfolio', 72), ('STSEX', 'BlackRock Exchange Portfolio', 72), ('BMGAX', 'BlackRock Mid-Cap Growth Equity Portfolio', 72), ('BMGCX', 'BlackRock Mid-Cap Growth Equity Portfolio', 72), ('CMGIX', 'BlackRock Mid-Cap Growth Equity Portfolio', 72), ('BMRRX', 'BlackRock Mid-Cap Growth Equity Portfolio', 72), ('CMGSX', 'BlackRock Mid-Cap Growth Equity Portfolio', 72), ('BMGKX', 'BlackRock Mid-Cap Growth Equity Portfolio', 72), ('CIBXX', 'BlackRock Money Market Portfolio', 72), ('CUAXX', 'BlackRock U.S. Treasury Money Market Portfolio', 72), ('PGIXX', 'BlackRock U.S. Treasury Money Market Portfolio', 72), ('PNGXX', 'BlackRock U.S. Treasury Money Market Portfolio', 72), ('CPAXX', 'BlackRock Municipal Money Market Portfolio', 72), ('CNJXX', 'BlackRock New Jersey Municipal Money Market Portfolio', 72), ('CNAXX', 'BlackRock North Carolina Municipal Money Market Portfolio', 72), ('COHXX', 'BlackRock Ohio Municipal Money Market Portfolio', 72), ('PENXX', 'BlackRock Pennsylvania Municipal Money Market Portfolio', 72), ('CSGBX', 'BlackRock Small Cap Growth Equity Portfolio', 72), ('CGICX', 'BlackRock Small Cap Growth Equity Portfolio', 72), ('PSGIX', 'BlackRock Small Cap Growth Equity Portfolio', 72), ('BMRXX', 'BlackRock Mid-Cap Growth Equity Portfolio', 72), ('PCGEX', 'BlackRock Small Cap Growth Equity Portfolio', 72), ('PVIXX', 'BlackRock Virginia Municipal Money Market Portfolio', 72), ('CIEAX', 'BlackRock Index Equity Portfolio', 72), ('CIEBX', 'BlackRock Index Equity Portfolio', 72), ('CIECX', 'BlackRock Index Equity Portfolio', 72), ('PNIEX', 'BlackRock Index Equity Portfolio', 72), ('PNESX', 'BlackRock Index Equity Portfolio', 72), ('BMCAX', 'BlackRock Mid-Cap Value Equity Portfolio', 72), ('BMCVX', 'BlackRock Mid-Cap Value Equity Portfolio', 72), ('BMCCX', 'BlackRock Mid-Cap Value Equity Portfolio', 72), ('CMVIX', 'BlackRock Mid-Cap Value Equity Portfolio', 72), ('BMCRX', 'BlackRock Mid-Cap Value Equity Portfolio', 72), ('CMVSX', 'BlackRock Mid-Cap Value Equity Portfolio', 72), ('BACBX', 'BlackRock All-Cap Energy & Resources Portfolio', 72), ('SSGRX', 'BlackRock Energy & Resources Portfolio', 72), ('SSGPX', 'BlackRock Energy & Resources Portfolio', 72), ('SSGDX', 'BlackRock Energy & Resources Portfolio', 72), ('SGLSX', 'BlackRock Energy & Resources Portfolio', 72), ('PCBAX', 'BlackRock Asset Allocation Portfolio', 72), ('CBIBX', 'BlackRock Asset Allocation Portfolio', 72), ('BRBCX', 'BlackRock Asset Allocation Portfolio', 72), ('PBAIX', 'BlackRock Asset Allocation Portfolio', 72), ('PCBSX', 'BlackRock Asset Allocation Portfolio', 72), ('BSQAX', 'BlackRock Small Cap Core Equity Portfolio', 72), ('SCGAX', 'BlackRock Small/Mid-Cap Growth Portfolio', 72), ('PNTXX', 'BlackRock Municipal Money Market Portfolio', 72), ('CMFXX', 'BlackRock New Jersey Municipal Money Market Portfolio', 72), ('CNCXX', 'BlackRock North Carolina Municipal Money Market Portfolio', 72), ('POSXX', 'BlackRock Ohio Municipal Money Market Portfolio', 72), ('PNSXX', 'BlackRock Pennsylvania Municipal Money Market Portfolio', 72), ('VASXX', 'BlackRock Virginia Municipal Money Market Portfolio', 72), ('PSEIX', 'BlackRock Small Cap Value Equity Portfolio', 72), ('SRLAX', 'BlackRock Capital Appreciation Portfolio', 72), ('BSQSX', 'BlackRock Small Cap Core Equity Portfolio', 72), ('PSESX', 'BlackRock Small Cap Value Equity Portfolio', 72)]"
Advantage Large Cap Core V.I,[],[]
Advantage Large Cap Value V.I,[],[]
Advantage U.S. Total Market V.I,[],[]
BALANCED CAPITAL PORTFOLIO,[],[]
BALANCED CAPITAL V.I. FUND,[],[]
BASIC VALUE V.I. FUND,[],[]
BATS: SERIES A PORTFOLI,"[('BATAX', 'BATS: Series A Portfolio')]","[('BRACX', 'BATS: Series C Portfolio', 93), ('BATEX', 'BATS: Series E Portfolio', 93), ('BRAMX', 'BATS: Series M Portfolio', 93), ('BATPX', 'BATS: Series P Portfolio', 93), ('BRASX', 'BATS: Series S Portfolio', 89), ('BATVX', 'BATS: Series V Portfolio', 89)]"
BATS: SERIES A PORTFOLIO,"[('BATAX', 'BATS: Series A Portfolio')]",[]
BATS: SERIES C PORTFOLIO,"[('BRACX', 'BATS: Series C Portfolio'),('BRACX', 'Series C Portfolio')]","[('BATPX', 'Series P Portfolio', 94), ('BRAMX', 'Series M Portfolio', 94), ('BRASX', 'Series S Portfolio', 94)],[]"
BATS: SERIES E PORTFOLIO,"[('BATEX', 'BATS: Series E Portfolio')]",[]
BATS: SERIES I PORTFOLIO,[],"[('BATPX', 'Series P Portfolio', 94), ('BRACX', 'Series C Portfolio', 94), ('BRAMX', 'Series M Portfolio', 94), ('BRASX', 'Series S Portfolio', 94)]"
BATS: SERIES M PORTFOLIO,"[('BRAMX', 'BATS: Series M Portfolio'),('BRAMX', 'Series M Portfolio')]","[('BATPX', 'Series P Portfolio', 94), ('BRACX', 'Series C Portfolio', 94), ('BRASX', 'Series S Portfolio', 94)],[]"
BATS: SERIES N PORTFOLIO,[],"[('BATPX', 'Series P Portfolio', 94), ('BRACX', 'Series C Portfolio', 94), ('BRAMX', 'Series M Portfolio', 94), ('BRASX', 'Series S Portfolio', 94)]"
BATS: SERIES P PORTFOLIO,"[('BATPX', 'Series P Portfolio'),('BATPX', 'BATS: Series P Portfolio')]","[('BRACX', 'Series C Portfolio', 94), ('BRAMX', 'Series M Portfolio', 94), ('BRASX', 'Series S Portfolio', 94)],[]"
BATS: SERIES S PORTFOLIO,"[('BRASX', 'BATS: Series S Portfolio'),('BRASX', 'Series S Portfolio')]","[],[('BATPX', 'Series P Portfolio', 94), ('BRACX', 'Series C Portfolio', 94), ('BRAMX', 'Series M Portfolio', 94)]"
BATS: SERIES V PORTFOLIO,"[('BATVX', 'BATS: Series V Portfolio')]",[]
BLACKROCK,[],[]
BLACKROCK ADVANTAGE COREALPHA BOND FUND,"[('BCRAX', 'BlackRock Advantage CoreAlpha Bond Fund'),('BCRCX', 'BlackRock Advantage CoreAlpha Bond Fund'),('BCRIX', 'BlackRock Advantage CoreAlpha Bond Fund'),('BCRKX', 'BlackRock Advantage CoreAlpha Bond Fund')]",[]
